,0
254,Smells like Eden Gardens!
255,Best one boum boum boum
256,"Fruity, citrus. Smooth. But don’t love it."
257,"Geur van passievrucht en kokos, toch heerlijk droog en mooie lange afdronk"
258,"Morze, kanalizacja."
259,Excellent sur huîtres en gelée et pan cota d'écrevisses et 2 saumons.
260,"Un cadeau qui réserve une belle surprise : bouchon à vis et je pensai le vin "" surfait "" ... des arômes confits de pommes.. une pointe d'acidite"
261,Første fadlagret Sauv. Blanc. jeg har smagt. Og må sige jeg er fan. En sprød vin med røget toner i rigtig god balance. Prisen ja det er jo Fransk.
262,"Kräftig gute Struktur voller Körper, ganz genial im Geschmack Waldbeeren Pflaumen mit Leder Pfeffer. Gut eingebundene Tannine sehr lange im Abgang."
263,1998ヴィンテージ。エノテカオンラインで購入。琥珀色。蜂蜜やナッツを思わせる香り、それに加えて酸味を予感させる香りも。シェリーっぽい感じ。アタックはキリッとした心地よい酸味があるがスッキリした感じ。中盤からすっきりハーブ系のニュアンスとナッツ様の香ばしいニュアンスが絶妙に膨らんでくる。その絡み合った複雑な旨みが長めの余韻を演出。開栓初日はワイン単体で飲む。
264,"Ganska kul vin. Doft: Marsipan, bivax, honung, russingnoch tuchpenna. Smak: annanas mango och exotiska frukter, medelsyra, Mandel, lätt oljigt och det unkna i en papya."
265,"Ароматика тонкая, цветы липы, лаванда и душица. Кислотность не агрессивна, сбалансированная, ваниль, сливки, объемность. В послевкусии твёрдое зеленое яблоко."
266,"Rigtig godt glas...Lækker sauvignon blanc, røget og med en del fadkarakter...Bag røgen kommer der noter af citrus, tropiske frugter - bestemt en anbefaling herfra"
267,"Интенсивность аромата ср+, спелый крыжовник, сливки, ваниль, тропики очень много, котики Кислотность ср+, сухое, алкоголь средний, тело ср+, послевкусие ср+. Очень хорошо. "
268,"F gulgrønn N krutt, våt stein, sitrusskall, integrert fat/smør, gule epler M høy syre, bra fyldig og god inngang; lett bitterhet i finish. Mye samme i munnen som på nesen. Lang. Flott vin 90 p"
269,"Heerlijk zeg en heel speciaal! 100 % sauvignon blanc uit Bordeaux. Deze 2005 open gedaan in 2020 en Oelala! Heerlijk in de neus, de smaak en een super lange afdronk! Toppertje!"
270,Superbe blanc de Pessac Léognan affichant beaucoup de fraicheur des notes d’agrumes et de fruits jaunes
271,God vit bourgogne med både toner av gul och grön frukt. God till grillad fisk med en fräsch röra av gula äpplen och lite mango och lime. Varför inte slänga med lite koriander också för att matcha det gröna i vinet
272,"butter vanilla oak grapefruit grass minerals 이 와인은 나에겐 아직 더 열려야했었다. 산미도 강하고 복합적인 맛이 나를 끝까지 혼란스럽게 했다. 물론 이때쯤 취하고 있었고, 마지막 한모금까지 느껴보려 나오면서 한입 또 넣어보았다. 기억엔 뒤로 갈수록 좋았다는 것! 그리고 너무 칠링을 많이 해서 마실 필요가 없을 와인같다고 느꼈다. 시간을 두고 변화를 충분히 느끼면서 즐겼으면 더 좋았을 와인! 아쉽다는 느낌을 뒤로 하고 다음을 기약해본다."
273,"Deilig moden, kompleks og harmonisk! Lys gulgrønn. Frisk og kompleks nese med innslag av flint, røyk, høy, bivoks, moden sitron og hint av eik og steinfrukt. Mye av det samme går igjen i munnen, med noe mer gul frukt (gul kiwi?) og salt mineralitet. Lang ettersmak av salt, moden frukt og moderat syre. Helt optimal nå! Mine fordommer om skrukork blir fullstendig gjort til skamme. 4-4,5."
274,"Arrivato al termine nel senso che o lo bevo sta sera o se no non so quanto tempo ancora possa restare in se questi Sauvignon Blanc stupisce, grande naso leggera nota ossidativi che non disturba, in bocca avvolge e persiste a lungo! ottimo vino"
275,"Très beau vin où l'on sent que l'année à été ensoleillé puisqu'il possède du corps mais heureusement que l'acidité est là pour rééquilibrer ce vin. C'est un vin qui je pense ne pourra pas être conservé plus de 10 ans alors que dans les millésimes plus frais il peut se garder des décennies! Pour ceux qui sous estimait les vins blancs bordelais, goûter celui-ci et vois changerez d'avis!"
276,"Sa couleur en trompera plus d’un. Car, si le premier regard échangé fait plutôt dans la nuance, c’est au premier nez, comme à la première bouche, que le festival prend corps. Agrumes, fleurs blanches, belle acidité en équilibre... tout n’est que surprise. Surprise ensoleillée, même. C’est vif. Poudré vanille. Jusqu’à cette teinte citronnée, vite rattrapée en finale par une superbe glisse minérale. Du bel ouvrage à partager sur un joli filet de merlu blanc ou dos de bar rôti."
277,"3,75 -89 poeng. Lukket på duft. Trenger tid. Lime, stikkelsbær , litt voks og tre. Medium + lengde. Mulig den trenger noen år til på langs. Drukket til reker i Zalto universal. For all del en god vin, men ikke verdt prisen (390kr)."
278,Buttery heaven.
279,Jb 7
280,Morten Fiskvik laks på steinan
281,3.8 ProWein 2018 Приём Грав Гран Крю.
282,@ Le à Vin Bordeaux 풍미가 강한 소비뇽블랑. 좋은 균형감.
283,88/100
284,Druvkursen
285,2015
286,"Color rojo picota, nariz profunda, mora, fruta negra, recto"
287,"3,9"
288,Peach vanilla citrus minerals pineapple apricot stone grass
289,Like
290,Butterish
291,
292,Excellent
293,Très bon
294,peach citrus grass minerals lychee Välbalanserad fransos. Ta den som den är.
295,"3,8"
296,Cracker !! Avec Poulet rôti
297,"cherry, long, complex, nice"
298,琥珀色。ハチミツ、シェリー、ナッツのアロマ、やや粘性。酸がもう少しあればよかったけども、ギリ飲み頃という感じ。1998、ペサックレオニャンの白。
299,16/20
300,"Liked this Sauvignon blanc, balanced, fruity, classic"
301,"Pessoal, os vinhos da região de Pessac-Leognan são maravilhosos! É um dos meu preferidos de Bourdeaux!!!"
302,Flintaktig! Lite sødme. 100% sov. Blanc. Bra syre. Annerledes på en bra måte. Bra fylde. Noe nøtt/tre toner.. 370 ish
303,"Utseende: klar och oljig Doft: krusbär, ekfat, marsipan, nötig, rent Smak: smakfull, torr, syra, krämig"
304,Cassis
305,"Fin doft och ganska tungt med smörighet, druvan till trots."
306,"agrumes, amandes, miel, belle fraîcheur"
307,Sehr schöner und typischer Bordeaux.
308,Toujours très puissant. Impressionnant
309,"Fortfarande pigg syra trots sin ålder med typiska drag av fat, krusbär, svartvinblad och citrus samt mognads-toner av inlagd frukt så som ananas"
310,87p fruktig. Smak av aprikos og fersken
311,"Un classic de l'appellation. Charnu et complexe, ses flaveurs sont aussi persistantes que savoureuses. Mon appréciation sur fidelesdebacchus.com"
312,"Mörkt gul, mogen och med tydliga Sauvignon blanc-kännetecken. Mjuk och fin."
313,"Rejäl smak med vanilj, smör, tropika frukter. Fyllig doft och bra eftersmak."
314,"Citrus, fläder, mandarin. Krusbär och ananas."
315,Sehr gut gealtert! Immer noch voller power
316,"Насыщенное и мягкое, с фруктовыми нотками"
317,"Полевые цветы, ваниль, яблоки, в целом очень позитивно"
318,Matchde med fisk o hasselnötssmör. Grym combo.
319,Blp/90 Meget lækkert
320,"Jättegod, så här ska sb smaka! Svartvinbärsblad i doften, fin balans mellan syra och fyllighet."
321,"Notas tropicais, limonado, ligeiro amanteigado. Boa estrutura, muito limonado na boca, final persistente. Excelente Branco! lemon butter"
322,"Belle couleur. Goût de pamplemousse, miel"
323,"Вскружило голову оно , это прекрасное вино. 👃свежо ,сливочно, травянисто. 👅средняя плотность абрикос и персик, Травянисто и сливочно."
324,Dejlig mineralitet og lidt syre
325,92p kjempefin. Smakt eldre viner fra samme produsent:-) denne tåler lagring
326,"3.9 pt. Det er frisk og dejligt! Hyldeblomst, grape og lidt fad. Toner ud med dejlig stramhed."
327,"Veldig god, stikkelsbær, smør"
328,Sehr ordentlicher Wein.
329,Modne epler og blomster. Fyldig og konsentrert. Syrlig og mineralsk utgang
330,"Lys strågul. Vanilje, lime, urter og gress. Frisk syre. Spennende vin med fin lengde. Ennå ung."
331,"Nez très étonnant, typique Sauvignon, mais boisé, beaucoup fraîcheur et bonne longueur"
332,Kokosnot molt bo
333,Une magnifique réussite qui prouve que les Pessac Leognan peuvent se comparer aux bons Bourgogne quand ils allient beau terroir et compétences humaines. Un grand vin !
334,"Garzgarste, burokelis, leiskite vynui dekantuotis, nes pradzioj jauciasi zibalas."
335,괜찮네~
336,"4.25: Superbe Blanc. très expressif au nez, arôme puissant sur fruit de la passion, côté vanillé du bois bien fondu. Très bonne tenue, pas de trace de cheveux gris malgré les 7 ans au compteur. En bref: beaucoup de plaisir, merci la vie !"
337,3.7 透明感、輝きのある濃いめの黄色。ディスク中程度。青リンゴ、オレンジ、ハーブや草。ドライ。酸味ハイ。ミディアムボディ。青リンゴなどのフレッシュな果実味と藁や草などややスモーキーな味わいが調和している。ミネラル感もしっかり感じる。青リンゴが一番の特徴。10度前後の温度が良いと思う。３日経っても問題なく飲める。
338,Fantastij balanserad soft och en smak son sitter länge I munnen.
339,スッキリしつつも、グッと攻めてくる感じで。カベルネなのかと、後から感じる。スクリューキャップで、耐える熟成なのかしら。
340,Bien
341,"Grapefrukt, stikkelsbær og hylleblomst på duft. Fint fatpreg. Frisk smak med bra syre. Mineralsk med lang finish."
342,美味
343,GT Nez typique. Bouche agréable entre notes de fruits et de végétaux. Ca démarre bien mais la chaleur en finale est pas glop. Peut-être bu trop tiède
344,"C’est bon, frais, mais sans la longueur et la complexité attendu d’un cru classé. J’ai de bien meilleurs souvenirs sur d’autres millésimes."
345,"Robe dorée intense, arômes fruités, agrumes, en bouche vin vif avec une belle acidité. Belle matière et bonne persistance. Vraiment sympa."
346,"Ett 100% SB vin vilket tydligt visar sig i både doft och smak. Druvtypisk med fläder, citrus, buxbom och en syra som sitter kvar behaglig länge."
347,Trevlig ek bra syra blommig mineral vingummi aceton bäst efter luftning
348,"Les classiques ça a du bon. Le fiston a adoré ce bel équilibre de franche acidité en début de bouche et une longueur phénoménale bien crémée. De l'ananas, du kumquat, bien évidemment un peu de vanille. Belle explosion en bouche. Un grand plaisir sur des St Jacques achetées fraîches sur le marché."
349,Sitrus og smør.
350,"3,8/5. Weird men spännande"
351,"Super et atypique Capsule à vis - à la fois très jeune et évolué - à carafer Sauvignon sur le fil de la maturité, très puissant avec tension et concentration Nez très expressif arômes verts de plantes médicinales, et de citron, de pamplemousse. En bouche à la fois vif et plein/rond, du croquant de pomme verte, finale salivante. Super sur plats gras, crustacés, fromages, desserts de fruits"
352,"Gereifter weißer Pessac-Léognan, dessen dunkles Goldgelb alleine schon bezaubert. In der Nase Honig, Bienenwachs, Steinobst, Heustadl und überreife Ananas, am Gaumen trocken mit glatter Textur, altersmilder Säure, einem Hauch Bratapfel und etwas Rancio. Feiner Wein!"
353,16/20
354,Et modent kupp på Systembolaget.
355,93p
356,"Crisp, intense, excellent"
357,Nice
358,In cellar
359,程よい酸味、残る余韻。 私は大好きなテイスト
360,Provad med Grand Cru
361,Topphvitt 2019.
362,Digg på LingLing
363,M👍👍👍
364,Recommended by Speilsalen
365,Très bon
366,
367,Kul med massor av fatkaraktär :)
368,Belle robe Nez frais parfumé de fruit blanc Bouche ample et complexe avec une belle longueur développant toutes ses finesses autour de 10° Fruité
369,"Underbart! Har smaklökarna och doftsinnet delvis pajade av covid, men den har en mycket trevlig syra. Mycket god till kvällens citronkyckling!"
370,a differencier d 1 bon chardonnay par le nez aromatique et l absence de beurre. Ca remplit les joues et c est hyper agrėable!
371,"Nez sur les agrumes, amande, en bouche une belle matière et bonne longueur. Un 100% sauvignon des plus agréables."
372,"Un splendide vin, bien équilibré, du gras de l'acidité du fruit (pêche abricot sur l'agrume aussi), un réel plaisir, j'y reviendrai."
373,"Flott og frisk! Veldig floralsk på nesen. Grapefrukt, fersken, smør og eik. God syre i avslutningen."
374,Minerals
375,"Drukket på ToppHvitt 2019 i regi av Kapitalvin på Design og Arkitekturhøyskolen torsdag 25.april. Fantastisk event, stort utvalg og høy kvalitet. Egne smakskommentarer kommer ikke."
376,自宅にて開栓。 3.7ポイント。 2005ヴィンテージ。 2015が1976のベンリアックに似ていたクーアン・リュルトンの1995。 オイリーな樽感がホグスヘッドのベンリアックっぽいし桃感もそれを彷彿させるが、2015と比べて熟成による複雑みが増している。 スクリューキャップで保管が楽なのもあるが、数日で豊かな酸が果実味を際立たせている。 素晴らしいペサック・レオニャンの白。
377,Speilsalen
378,Превосходно
379,Un vrai Bx blanc
380,Speilsalen 05.12.2020
381,"Riktigt bra, lite kall vid prov"
382,"Яблоко, лимон и тосты со сливками во вкусовой доминанте. Мне понравилось. Уверенные 4*"
383,Citrus en perzik. Ook een lichte hint van hout. Goede balans tussen zacht (zoet) en zuur
384,Fantastisk god 1. oplevelse med hvid Bordeaux
385,"Très typé Pessac, nez boisé, matière et fraîcheur. Top a bon prix. 4,3/5"
386,Godt å se god hvitvin fra Bordeaux!
387,"Frisk omogen frukt, citrus. Välbalanserad syra."
388,Kompleks og tropisk Sauvignon Blanc fra bourdeaux. Artig. Mer i retning av mango og ananas.
389,"Nez fermé (cuir) belle acidité en bouche, pierre a fusil (silex), fumé. Sauvignon 100% !"
390,Blomster og urter! God balanse og sødme!
391,밸런스 좋고 우아하지만 뭔가 특색은 부족한 느낌.. 가격에 비해 그만한 역할은 못해주는 듯
392,"Nydelig hvit Bordeaux. Gul frukt mot tropisk, mineralsk, herlig syre"
393,"Nez typique d'un sauvignon élevé sous bois. Envoûtant. En bouche, l'attaque est très acide et domine trop largement. Avec un peu de patience, on retrouve la rondeur et le doux boisé vanillé du vin accompagnant notre homard breton."
394,"Nuance jaune citron reflet jaune pâle Olfactif fruit tropical, végétale, fleurs blanche Gustatif attaque net dominante acidulé évolution fraiche suave ample Arôme légèrement fumé Persistance longue Consommé maintenant jusqu'à 2034 Accord Tartare de saumon citron St jacques"
395,"Nez exhubérant allant chercher du côté des fruits exotiques : mangue et surtout fruit de la passion. Bouche manquant de relief, on s'attendant à plus au vue du nez. Boisé discret. Vin tout de même intéressant."
396,"Vinen er kraftig og kompleks på duft. Gummi, krutt og svovel som fremstår litt vulgært. På smak er det mye syre og noe som ligner på leverpostei. Jeg har aldri forstått hvit Bordeaux og ei heller prisingen på dette. 83 poeng."
397,"Разочаровало. Ничем не выделялось рядом с новосветскими образцами, довольно скромные характеристики чтобы переплачивать втрое относительно нового света. Цветы, мед, сливки, неплохо но резковато. Возможно ожидания были завышены. 87-88."
398,Nous arrivons à la limite de ce qu’il peut donner. Les arômes de fruits secs et à coques sont encore présents mais la fin de bouche est assez courte et le vin est quelque peu oxydé. Ne pas attendre donc
399,"Неплохой, но уж слишком простой, если не примитивный, для Бордо СБ. Чёрная смородина, манго, маракуйя (это если поискать) - и всё время оочень рядом торчат кошачьи уши.😁 Гладкий вкус без сюрпризов и претензий. Исключительно под гастрономию - 3,6.."
400,"Millésime 2015. Bu pour l’apéro. Une belle surprise. Explosion d’agrumes en bouches avec des notes boisées sur le final. C’est harmonieux et équilibré, tout en délicatesse."
401,"3,2 på Nvkf Bordeaxmesse"
402,Kraftig ekkaraktär.
403,Frutado e persistente. Excelente
404,"sharp, claire"
405,Аккуратное
406,3.8
407,Overwhelming acidity
408,Not convincing - 100% SB
409,Классика
410,Trevlig vin.
411,"Fantastisk doft, God smak o sedan väldigt kort."
412,Tres equilibre
413,향은 그냥 그런데 sauvignon blanc치고 맛이 좋음 독특한 연둣빛
414,Bouchonné dommage
415,"3,7"
416,少し濃い目のレモン色、桃や杏のかおり。柑橘系の香りはほのかに香る。熟成感があり果実味たっぷり。
417,87p
418,Riktigt bra till fiskgryta med saffran!
419,Anne laure adore ! Super pour son anniversaire !
420,"Франция как всегда поражает,запах яркий а вкус ещё ярче"
421,"Trenger luft, men da kommer den. Eik, mektig og litt sitrus baki der. En hvit som kan nytes som en rød! 🥂🍷"
422,"Arômes de buis, agrumes. Bonne intensité aromatique. En bouche bonne longueur en bouche avec une belle acidité."
423,"3,0 Kan slet ikke finde faglagringen i smagen, som så også er for skarp og unuanceret og uden meget frugt."
424,"Till pastan med sockerärtor, vårlök, estragon, smör, äggula, citron och 50 grader laxloin mötte den upp bra med en mogen fyllighet och en förvånansvärt lång syra i eftersmaken. Påminde lite om torr vit sherry. Till osten som var en Österrikisk weinkäse uppträdde den som ett artig dessertvin med smak av gula russin, mogen exotisk frukt och väldigt låg syra. När osten var slut kom lite av syran tillbaka."
425,"Per chi non conosce il Bordeaux bianco, questo è un ottimo esempio. Molto brillante, ottima acidità nonostante i suoi 14 anni. Attraente e peculiare al naso, con sentori delicati di frutta estiva, pesche e albicocche con ben integrata vaniglia. Complessità persistente al palato associata a un piacevole senso rinfrescante. Un bianco che si distingue pur con classe. Complimenti a Lurton..."
426,"Au nez, citron confit, encostique En bouche super longueur, quelle équilibre !! On se réconcilie avec les grands bordeaux !!"
427,"Det här var udda. Kan inte bestämma mig för om jag gillar det eller inte. Det första jag tänker på när jag doftar är gummi. Oväntad doft. Sen känner jag fatade toner och exotiska frukter. Smaken är smörig och oljig med vanilj, lite lime och mango, papaya, ananas. Mer intressant än njutbart."
428,"Vin dégusté avec bouchon liège et bouchon vis. Côté liège : nez citron jaune frais à confit avec le bois qui apparaît après agitation. Côté assez oléagineux. En bouche bonne acidité, fruit de la passion en arrière bouche. Côté vis : nez fumé, pas très précis (réduction qui s’atténue avec l’agitation). Fruits confits et cacahuète après agitation. Un côté fruité se retrouve plus en bouche. Manque de précision en général"
429,すっきり辛口。飲みやすくてぐびぐびいけてしまう
430,Bold
431,Växte med maten.
432,God matvin
433,...
434,Very good!
435,
436,Well balanced
437,En god fransk Sauvignon Blanc med fint fat preg.
438,Eik og vanilje. I speilsalen til vegetarrett
439,Nice one)
440,Magi
441,"mogen papaya, inte heltypisk sauvignon blanc, kiwi"
442,Divino.
443,Bien
444,
445,辛口　樽軽山椒
446,"Dry, fruity"
447,Good stuff
448,100% sauvignon blanc - ishvsrøye med selleri royal - nam.
449,Fruité
450,Rond fruité a du corps Manger avec du saumon SPM 2016 Brasserie Bordolaise Paye 75€
451,Payé 30euro... cher! Sinon bon équilibre et bien typé...
452,Aromatisk doft m lite svarta vinbärsblad. Mycket hög syra.
453,Svartavinbärsblad och hög syra. Mycket fat och tydlig avsändare.
454,dejlig friskhed med en let fedme. noter af citrus og en smule røg og nødder.
455,"Fin, précis. Bien fait, équilibré Bois fondu. Top top"
456,コルクとスクリューの比較の相方 この時はまだだけど 最近のスクリューは密閉し過ぎないように努力してるらしい
457,Tout est là ! Du beurre de l'acidité et de la gourmandise
458,Ung sträv. Behöver mera tid
459,Joli vin Assez digeste mais très fumé et torrifié Assez surpris par ce vin qui mérite des années.
460,Robe ocre nez très floral mais manque de longueur
461,의외의 즐거움 아내 해준 도가니
462,"Papp, marsipan og tropiske frukt. Mindre på smak, men åpner seg med luft. Holder seg godt. God match til grillet hummer med estragonsmør."
463,ананас трава лайм мёд крыжовник
464,"Spændende med hvid Bordeaux. Den har en lidt røget smag som var spændende, men ikke lige min stil."
465,Tungt vitt. Aprikos. Passar utmärkt till stekta sparvar som kommer inflygande genom fönstret.
466,"Ekfat o kattpiss i doften. Smak päron, härlig syra o fruktig."
467,"Leicht sauer, fruchtig und gute Traube"
468,Super lecker. Trocken fruchtig einfach toll
469,Couleur éclatante. Note boisée. Fort arôme de sauvignon. Bonne acidité et mineralité
470,Amadeirado
471,Vins qui as bientôt 9 ans très belle découverte une acidité suptile qui vient relevé c'est notes fruitées je recommande
472,"Quel vin et quel équilibre des notes d’agrume dominée par du melon et un final léger de fruits blancs, une longueur en bouche surnaturelle Un très grand bordeaux blanc comme on les aiment le prix est au niveau de l’expérience"
473,Magnifique
474,Too green
475,flawed
476,Wip
477,"3.8. Flot, tropisk og fed duft. Men stram og tør i udtrykket. Nok ik min stil, men spændende glas."
478,Très très très beurré
479,Sehr guter intensiver Wein.
480,Plus vif - a considérer sur un poisson blanc légèrement fumé
481,Notes d'agrumes tres marquée
482,Très bon bordeaux avec des arômes vanillés assez équilibré
483,Bon légèrement maderisè à son âge cela peut être entendu
484,Manque de relief en bouche Très agréables au nez
485,Tres tres agréable
486,Fruité très bonne qualité
487,"Rond, charnu, tannique...très très bien"
488,"Une touche de fruits jaunes, très minéral, très bon!"
489,"Boisé avec du corps, pêche et agrumes"
490,
491,
492,
